Area,No. of Bedrooms,Location,Hospital,MaintenanceStaff,Gymnasium,CarParking,SwimmingPool,Landscaped Gardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,Price
1805,3,Begur,nearby,0,1,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,11000000
1880,3,Begur,nearby,0,1,yes,1,1,1,1,1,1,1,1,1,1,1,1,,11399999
2180,4,Begur,nearby,0,1,yes,1,1,1,1,1,1,1,1,1,1,1,,1,13000000
1850,3,Begur,nearby,0,1,yes,1,,1,1,1,1,,1,1,1,1,1,1,11299999
null,,Kannur on Thanisandra Main Road,very far,0,1,no,1,1,1,1,0,0,1,0,0,0,0,1,0,4900000
1215,2,Kannur on Thanisandra Main Road,very far,0,1,no,1,1,1,1,0,,1,0,,0,,1,0,
1224,2,Kannur on Thanisandra Main Road,far,0,1,,1,1,1,,0,0,1,0,0,,0,1,0,5036000
1350,2,Doddanekundi,very far,0,0,no,0,0,0,0,0,0,1,0,0,0,0,0,1,6736000
1650,3,Doddanekundi,,,0,no,0,0,0,0,0,0,1,0,0,0,0,0,1,8233000
1355,3,Doddanekundi,very far,0,0,no,0,0,0,0,,0,1,,0,,0,0,1,6761000
1325,2,Doddanekundi,very far,0,0,no,0,0,0,0,0,0,1,0,0,0,0,0,1,6611000
1260,2,Doddanekundi,far,0,0,no,0,,0,0,0,0,1,0,0,0,0,,1,6287000
1290,2,Doddanekundi,far,0,0,no,0,0,0,,0,0,1,0,0,0,0,0,1,6437000
1225,2,Doddanekundi,very far,0,,no,,0,0,0,0,0,1,0,0,0,0,0,,6112000
1300,,Doddanekundi,very far,0,0,no,0,0,0,0,0,0,1,0,0,0,,0,1,6487000
null,,Dasarahalli on Tumkur Road,far,0,1,yes,1,1,1,1,1,0,0,1,0,1,0,1,1,9412000
1486,3,Dasarahalli on Tumkur Road,nearby,0,1,yes,1,1,1,1,1,,0,1,0,1,0,1,1,10500000
1433,3,Dasarahalli on Tumkur Road,nearby,,1,yes,1,1,1,1,1,0,0,1,0,1,0,1,1,10200000
1152,2,Kengeri,very far,1,1,yes,1,1,,1,1,0,1,1,,1,0,1,1,4722000
1119,2,Kengeri,very far,1,1,yes,1,1,1,1,1,0,1,,0,1,0,1,1,4586000
1118,2,Kengeri,very far,1,1,yes,,1,1,1,,0,1,1,0,1,0,1,1,4582000
1656,3,Kengeri,very far,1,,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,6787000
1629,3,Horamavu,far,0,1,yes,1,1,1,1,1,0,1,1,,1,0,1,1,9319000
1237,2,Horamavu,very far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,6892000
1275,2,Bommanahalli,far,1,1,yes,1,1,,0,1,0,1,1,0,1,0,1,1,9277000
1615,,Bommanahalli,nearby,1,1,yes,1,1,1,0,1,0,1,1,0,1,0,1,1,11600000
1515,3,Bommanahalli,nearby,1,1,yes,1,1,1,0,1,0,1,1,0,1,0,1,,
1455,3,Bommanahalli,nearby,1,1,yes,,1,1,0,1,0,1,1,0,1,0,1,,10500000
1360,3,Bommanahalli,far,1,1,yes,1,1,1,0,1,0,1,1,0,1,0,1,1,9859000
null,3,Ramamurthy Nagar,very far,0,1,yes,0,0,1,1,0,0,1,,0,0,0,1,1,6973999
1139,2,Ramamurthy Nagar,very far,0,1,,0,0,1,1,0,0,1,0,0,0,0,1,1,5705000
1154,2,Ramamurthy Nagar,very far,0,1,yes,0,0,1,1,0,0,1,0,0,0,0,1,1,5772000
1353,3,Ramamurthy Nagar,far,0,1,yes,0,0,1,1,0,0,1,0,0,0,0,1,1,6720999
1362,3,Ramamurthy Nagar,far,0,1,yes,0,,1,1,0,0,1,0,0,0,0,1,1,6761000
1133,2,Ramamurthy Nagar,,0,,yes,0,0,1,1,0,0,1,0,0,0,0,1,1,5677000
1068,2,Ramamurthy Nagar,very far,0,1,yes,0,0,1,1,,,1,0,0,0,,1,1,5384000
1540,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,,0,1,1,9141000
1610,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,,0,0,1,0,0,0,0,1,1,9522000
1715,3,Whitefield Hope Farm Junction,nearby,0,1,no,1,1,1,1,0,0,1,0,0,0,0,1,1,10000000
1195,2,Whitefield Hope Farm Junction,far,,1,no,1,1,1,1,0,0,1,0,0,0,0,1,1,7211000
1425,3,Whitefield Hope Farm Junction,far,0,1,no,,1,1,1,0,0,1,0,0,0,0,1,1,8514000
1760,3,Whitefield Hope Farm Junction,nearby,0,1,no,1,1,1,,0,0,1,0,0,0,0,1,1,10300000
null,2,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,0,0,,1,
1235,,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,0,0,1,1,7429000
1305,2,Whitefield Hope Farm Junction,far,0,1,no,1,,1,1,0,0,1,0,0,0,0,1,1,7809999
660,1,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,3506000
1120,2,Electronic City Phase 1,far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,6250000
1120,2,Electronic City Phase 1,far,1,,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,6250000
715,1,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,,3797999
715,1,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,3797999
910,2,Electronic City Phase 1,,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,
910,2,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,5034000
1430,3,Electronic City Phase 1,far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,7897000
1430,3,Electronic City Phase 1,far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,7897000
965,2,Electronic City Phase 1,very far,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,5327000
965,,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,5327000
1500,3,Electronic City Phase 1,far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,8269000
1500,3,Electronic City Phase 1,far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,8269000
